,country,country_serial,metric,unit,sector,sub_sector,sub_sub_sector,source_link,source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
75,Gambia,22,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,3.13,3.1,3.23,3.05,2.94,3.05,3.2,3.22,3.09,3.09,2.92,3.24,3.13,3.01,3.34,3.48,3.45,3.29,3.24,3.24,3.19,3.11,,,
76,Ghana,23,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,4.84,4.65,4.43,4.01,3.75,3.5,3.57,3.37,3.32,3.22,3.3,3.04,3.12,2.93,2.89,2.95,2.87,2.63,2.8,2.78,2.97,2.88,3.16,,
77,Guinea,24,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,9.11,8.9,8.55,8.5,8.43,8.25,8.13,7.73,7.47,7.7,7.71,7.39,6.93,6.49,6.35,6.37,5.91,5.66,5.29,5.37,5.39,5.13,,,
78,Guinea Bissau,25,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,10.71,10.39,10.19,10.62,10.7,10.2,10.1,10.07,9.72,9.67,9.31,8.73,9.01,8.84,8.94,8.6,8.34,8.05,7.87,7.56,7.51,7.14,4.95,,
79,Kenya,26,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,5.73,5.57,5.62,5.48,5.57,5.48,5.4,5.16,5.3,5.44,5.18,5.1,4.9,4.96,5.13,5.34,5.27,5.24,5.09,4.93,4.96,4.76,6.95,,
80,Lesotho,27,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,13.55,13.24,13.04,11.53,11.53,11.41,11.14,10.93,10.77,11.13,10.64,11.45,10.81,9.1,8.94,8.14,7.86,8.42,8.19,8.37,8.18,10.42,,,
81,Liberia,28,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,10.64,10.79,10.79,15.93,16.06,16.09,15.39,13.92,13.34,13.12,13.25,12.93,12.46,11.65,11.55,11.85,12.34,12.46,12.52,13.87,14.32,14.01,9.02,,
82,Madagascar,29,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,7.76,7.18,8.62,8.32,8.21,8.02,7.79,7.65,7.49,8.02,8.5,8.72,8.78,8.35,8.18,8.12,7.9,7.98,8.49,8.58,9.41,9.35,,,
83,Malawi,30,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,5.25,5.42,5.56,5.33,5.13,5.0,4.76,4.51,4.38,4.07,3.79,3.72,3.71,3.56,3.33,3.31,3.3,3.18,3.26,3.16,3.11,3.04,9.0,,
84,Mali,31,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,4.8,4.36,4.7,4.74,4.98,4.77,4.68,4.82,4.71,4.76,5.63,5.83,5.62,6.12,6.02,5.92,6.05,6.06,6.05,6.06,6.48,6.43,3.33,,
85,Mauritania,32,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,2.55,2.67,2.79,2.69,2.71,2.59,2.19,2.44,2.6,2.79,2.81,2.81,2.87,2.58,2.81,3.0,2.73,3.22,3.72,3.66,3.78,3.54,6.26,,
86,Mauritius,33,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,2.89,2.94,2.87,2.84,2.77,2.82,2.89,2.75,2.66,2.52,2.54,2.45,2.4,2.37,2.33,2.32,2.23,2.19,2.08,2.06,2.12,2.15,3.74,,
87,Morocco,34,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,3.35,3.3,3.25,3.04,3.41,3.51,3.31,3.33,3.27,3.16,3.21,3.29,3.24,3.11,3.07,3.02,3.01,3.0,2.94,3.08,3.14,3.14,,,
88,Mozambique,35,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,26.91,25.24,23.75,23.38,22.44,21.44,20.21,15.17,14.49,14.82,12.66,14.14,13.35,13.4,12.94,12.54,12.29,11.92,11.7,11.56,11.5,11.95,3.05,,
89,Namibia,36,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,3.4,3.9,3.37,3.4,3.44,3.55,3.42,3.36,3.62,3.73,3.57,3.47,3.42,3.39,3.31,3.28,3.38,3.42,3.45,3.48,3.54,3.45,,,
90,Niger,37,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,5.83,5.6,5.53,5.65,5.89,5.54,5.38,5.45,5.3,5.51,5.47,4.65,4.97,5.9,5.63,5.49,5.34,5.14,5.05,4.99,4.97,5.19,,,
91,Nigeria,38,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,10.8,10.55,9.49,9.09,8.36,8.27,7.8,7.55,7.28,6.6,6.8,7.07,6.86,6.65,6.4,6.14,6.46,6.41,6.27,6.5,6.64,6.57,,,
92,Rwanda,39,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,7.8,7.19,6.35,6.2,5.77,6.95,6.54,6.31,5.88,5.73,5.56,5.36,5.14,5.08,4.87,4.57,4.35,4.28,4.03,3.72,3.86,3.59,,,
93,Sao Tome and Principe,40,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,4.79,4.66,4.78,4.82,4.95,4.79,4.5,4.38,4.24,4.25,4.63,4.32,4.38,4.15,4.4,4.62,4.67,4.32,4.12,4.18,3.96,3.97,3.51,,
94,Senegal,41,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,3.95,4.09,4.13,3.78,3.87,3.79,3.72,3.88,3.92,4.59,4.68,4.79,4.51,4.07,4.15,4.19,3.93,3.65,3.48,3.72,3.55,3.58,3.64,,
95,Seychelles,42,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,3.07,3.37,3.42,3.53,4.05,3.71,3.41,3.25,3.42,3.69,3.44,2.95,2.97,2.76,2.91,2.9,2.85,2.78,2.74,2.58,2.85,2.85,,,
96,Sierra Leone,43,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,13.81,12.01,9.82,9.11,8.54,8.01,8.01,7.32,6.99,6.82,6.6,6.5,5.81,5.07,4.98,6.25,5.99,5.75,5.52,5.26,5.43,5.49,2.69,,
97,Somalia,44,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,12.23,11.72,12.0,12.83,11.61,10.69,10.01,9.16,8.64,8.2,7.51,6.88,6.91,6.86,6.72,6.43,6.85,6.41,6.37,6.3,6.6,6.57,5.29,,
98,South Africa,45,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,9.22,8.65,7.94,8.64,9.01,8.22,7.93,8.18,8.59,8.84,7.98,7.87,7.35,7.12,7.43,6.93,7.14,7.02,6.72,6.72,6.9,6.57,6.51,,
99,South Sudan,46,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,4.87,4.06,4.13,5.03,5.24,5.21,5.75,5.8,6.06,5.88,,,
100,Sudan,47,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,4.51,4.31,4.37,3.99,3.79,3.71,3.73,3.4,3.32,3.58,3.26,3.61,3.72,4.53,4.46,4.27,4.07,4.13,4.31,4.54,4.61,4.83,,,
101,Tanzania,48,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,12.45,12.17,11.91,11.58,11.14,10.96,10.85,10.05,9.68,9.41,9.2,9.02,8.67,8.51,7.89,7.77,7.47,7.06,6.75,6.69,6.44,6.38,,,
102,Togo,49,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,10.61,10.49,10.47,10.36,10.57,11.3,10.99,11.28,11.29,13.02,12.3,11.7,10.97,10.07,9.93,9.17,9.34,8.27,8.51,8.3,8.76,8.6,3.7,,
103,Tunisia,50,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,4.05,4.12,4.12,4.04,4.01,3.81,3.81,3.69,3.69,3.48,3.77,3.68,3.68,3.66,3.61,3.66,3.67,3.7,3.64,3.53,3.68,3.81,9.86,,
104,Uganda,51,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,13.42,13.54,13.15,12.91,12.72,12.14,11.86,11.53,10.81,10.45,10.2,9.9,10.03,10.13,9.98,9.71,10.06,9.87,9.88,9.52,10.72,10.2,,,
105,Zambia,52,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,12.77,12.53,12.37,11.94,11.47,11.04,10.47,9.84,9.45,8.88,8.31,8.28,8.07,7.9,7.86,7.83,7.73,7.77,7.69,7.5,7.88,7.82,,,
106,Zimbabwe,53,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,12.57,12.51,13.38,15.33,15.96,18.15,19.35,19.74,22.09,20.93,17.83,16.48,14.61,14.79,14.69,14.59,14.18,13.62,13.64,14.35,15.05,14.77,,,
107,Algeria,1,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,1.12,0.95,0.83,0.71,0.62,0.53,0.47,0.41,0.35,0.32,0.29,0.26,0.23,0.23,0.2,0.16,0.16,0.12,0.13,0.13,0.13,0.13,0.13,,
108,Angola,2,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,9.72,9.96,10.28,10.54,10.98,11.2,11.53,11.95,12.25,12.63,12.95,13.37,13.63,14.05,14.38,14.68,15.04,15.4,15.82,16.21,16.51,17.02,17.49,,
109,Benin,3,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,6.82,7.02,7.22,7.41,7.6,7.8,7.99,8.18,8.37,8.57,8.79,9.01,9.25,9.5,9.76,10.02,10.31,10.59,10.88,11.16,11.43,11.73,12.01,,
110,Botswana,4,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.96,0.94,0.93,0.91,0.9,0.89,0.88,0.87,0.85,0.85,0.84,0.83,0.83,0.84,0.84,0.84,0.84,0.85,0.85,0.85,0.85,0.85,0.85,,
111,Burkina Faso,5,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,11.29,11.6,11.91,12.22,12.56,12.9,13.23,13.6,13.96,14.32,14.7,15.08,15.43,15.79,16.14,16.5,16.78,17.12,17.4,17.66,17.87,18.1,18.3,,
112,Burundi,6,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,6.38,6.54,6.72,6.93,7.16,7.4,7.65,7.92,8.2,8.47,8.75,9.03,9.3,9.58,9.87,10.18,10.5,10.85,11.21,11.56,11.93,12.29,12.66,,
113,Cameroon,7,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,13.78,13.98,14.2,14.4,14.62,14.84,15.09,15.34,15.62,15.86,16.18,16.48,16.8,17.11,17.37,17.63,17.91,18.21,18.43,18.63,18.85,19.0,19.26,,
114,Cape Verde,8,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.1,0.1,,
115,Central African Republic,9,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,3.73,3.81,3.89,3.96,4.03,4.11,4.18,4.25,4.32,4.38,4.43,4.45,4.47,4.47,4.49,4.52,4.57,4.63,4.7,4.79,4.88,4.97,5.08,,
116,Chad,10,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,8.09,8.42,8.77,9.12,9.49,9.84,10.19,10.53,10.87,11.22,11.58,11.94,12.31,12.69,13.05,13.42,13.77,14.13,14.43,14.75,15.06,15.36,15.62,,
117,Comoros,11,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.54,0.55,0.56,0.58,0.59,0.6,0.62,0.63,0.64,0.65,0.67,0.68,0.69,0.71,0.72,0.73,0.75,0.76,0.77,0.78,0.8,0.81,0.82,,
118,Congo Democratic Republic,12,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,46.65,47.86,49.19,50.62,52.08,53.6,55.24,56.9,58.68,60.47,62.46,64.45,66.56,68.75,70.92,73.3,75.67,78.17,80.73,83.26,85.84,88.37,91.13,,
119,Congo Republic,13,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,2.96,3.02,3.09,3.15,3.22,3.3,3.37,3.46,3.53,3.59,3.65,3.68,3.69,3.71,3.7,3.7,3.71,3.68,3.68,3.66,3.65,3.63,3.61,,
120,Cote d'Ivoire,14,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,13.7,14.09,14.41,14.73,15.03,15.33,15.63,15.9,16.2,16.45,16.67,16.86,17.01,17.22,17.28,17.31,17.23,17.1,16.91,16.67,16.38,16.02,15.78,,
121,Djibouti,15,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.69,0.7,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,,
122,Egypt,16,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,12.44,9.97,7.69,5.92,4.37,3.22,2.34,1.75,1.13,0.91,0.67,0.43,0.26,0.18,0.18,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.11,,
123,Equatorial Guinea,17,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.5,0.51,0.53,0.55,0.58,0.6,0.62,0.65,0.68,0.7,0.73,0.77,0.79,0.83,0.86,0.9,0.93,0.97,1.01,1.05,1.09,1.13,1.17,,
124,Eritrea,18,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,3.27,3.36,3.46,3.56,3.65,3.74,3.81,3.87,3.92,3.98,4.03,4.1,4.16,4.23,4.3,4.38,4.47,4.57,4.66,4.77,4.87,4.98,5.08,,
125,Eswatini,19,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.8,0.8,0.79,0.78,0.77,0.76,0.76,0.75,0.74,0.74,0.73,0.72,0.72,0.72,0.71,0.71,0.72,0.72,0.73,0.73,0.74,0.75,0.76,,
126,Ethiopia,20,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,65.94,67.88,69.86,71.82,73.8,75.88,77.83,79.87,81.85,83.79,85.77,87.71,89.67,91.66,93.67,95.58,97.39,99.29,101.08,102.87,104.41,106.17,107.68,,
127,Gabon,21,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.44,0.43,0.42,0.41,0.4,0.38,0.37,0.36,0.35,0.33,0.32,0.31,0.3,0.29,0.28,0.26,0.25,0.24,0.23,0.23,0.22,0.21,0.2,,
128,Gambia,22,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,1.19,1.22,1.26,1.31,1.35,1.4,1.44,1.49,1.54,1.59,1.65,1.7,1.76,1.82,1.88,1.94,2.0,2.06,2.12,2.19,2.25,2.32,2.39,,
129,Ghana,23,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,17.75,18.1,18.43,18.77,19.12,19.43,19.75,20.02,20.33,20.61,20.76,20.95,21.2,21.31,21.52,21.62,21.75,21.86,21.83,22.0,22.04,22.06,22.09,,
130,Guinea,24,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,8.75,8.9,9.06,9.24,9.41,9.6,9.8,10.02,10.24,10.47,10.71,10.95,11.19,11.44,11.71,11.99,12.3,12.62,12.94,13.28,13.61,13.97,14.32,,
131,Guinea Bissau,25,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,1.23,1.25,1.28,1.31,1.33,1.36,1.4,1.43,1.46,1.5,1.54,1.58,1.62,1.66,1.71,1.75,1.8,1.84,1.89,1.93,1.98,2.03,2.08,,
132,Kenya,26,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,30.92,31.61,32.38,33.11,33.85,34.57,35.31,36.11,36.84,37.62,38.46,39.26,39.94,40.57,41.15,41.62,41.77,41.87,41.73,41.41,40.87,40.32,39.26,,
133,Lesotho,27,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,1.57,1.55,1.54,1.52,1.5,1.48,1.47,1.45,1.43,1.42,1.41,1.4,1.39,1.38,1.38,1.37,1.37,1.37,1.38,1.38,1.39,1.39,1.39,,
134,Liberia,28,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,2.87,2.97,3.05,3.1,3.16,3.25,3.36,3.5,3.65,3.8,3.93,4.06,4.17,4.27,4.37,4.48,4.6,4.71,4.83,4.95,5.07,5.2,5.32,,
135,Madagascar,29,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,15.56,16.07,16.56,17.07,17.61,18.14,18.67,19.24,19.8,20.36,20.94,21.55,22.12,22.73,23.35,23.99,24.65,25.32,25.97,26.62,27.32,28.01,28.74,,
136,Malawi,30,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,11.14,11.45,11.76,12.08,12.41,12.77,13.15,13.54,13.96,14.38,14.82,15.25,15.71,16.18,16.68,17.17,17.69,18.25,18.8,19.36,19.94,20.55,21.15,,
137,Mali,31,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,10.89,11.2,11.55,11.91,12.29,12.68,13.11,13.55,14.01,14.48,14.94,15.4,15.86,16.31,16.81,17.31,17.81,18.36,18.92,19.47,20.06,20.64,21.26,,
138,Mauritania,32,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,1.91,1.92,1.93,1.94,1.95,1.97,1.98,2.01,2.04,2.07,2.11,2.16,2.2,2.25,2.3,2.33,2.38,2.42,2.45,2.49,2.52,2.54,2.57,,
139,Mauritius,33,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.09,0.08,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,,
140,Morocco,34,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,2.94,2.66,2.45,2.24,2.05,1.86,1.67,1.53,1.36,1.22,1.1,1.02,0.93,0.78,0.79,0.73,0.74,0.68,0.69,0.7,0.7,0.75,0.8,,
141,Mozambique,35,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,17.69,18.2,18.72,19.26,19.83,20.42,20.99,21.61,22.21,22.84,23.47,24.12,24.8,25.51,26.21,26.92,27.62,28.33,29.12,29.87,30.63,31.37,32.12,,
142,Namibia,36,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,1.26,1.27,1.27,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.29,1.3,1.31,1.33,1.34,1.35,1.37,1.38,1.4,1.41,1.43,1.45,1.48,,
143,Niger,37,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,11.26,11.67,12.1,12.54,13.01,13.5,13.99,14.51,15.06,15.62,16.23,16.83,17.47,18.11,18.77,19.46,20.14,20.85,21.58,22.32,23.04,23.78,24.49,,
144,Nigeria,38,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,121.25,124.33,127.51,130.78,134.04,137.55,141.05,144.66,148.24,152.09,155.72,159.46,163.11,166.33,169.23,171.22,172.41,172.18,170.61,168.11,165.33,162.81,161.33,,
145,Rwanda,39,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,8.02,8.32,8.53,8.67,8.81,8.98,9.2,9.43,9.69,9.96,10.22,10.48,10.75,11.01,11.27,11.52,11.77,12.0,12.2,12.37,12.49,12.55,12.54,,
146,Sao Tome and Principe,40,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.14,0.14,0.14,0.15,0.15,0.15,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.18,0.19,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.22,,
147,Senegal,41,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,6.43,6.49,6.55,6.62,6.75,6.92,7.14,7.4,7.75,8.13,8.58,9.06,9.5,10.03,10.44,10.86,11.2,11.46,11.7,11.91,12.04,12.13,12.28,,
148,Seychelles,42,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
149,Sierra Leone,43,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,4.56,4.73,4.95,5.19,5.43,5.65,5.83,6.0,6.15,6.29,6.43,6.59,6.73,6.89,7.04,7.19,7.35,7.5,7.67,7.83,7.98,8.15,8.29,,
150,Somalia,44,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,8.98,9.25,9.53,9.79,10.07,10.35,10.65,10.96,11.28,11.6,11.92,12.26,12.59,12.92,13.28,13.63,13.97,14.34,14.73,15.12,15.48,15.89,16.27,,
151,South Africa,45,Population without access to clean cooking fuels,millions of people,Energy,Access,Population without access to clean cooking fuels (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,20.12,19.48,18.81,17.96,17.13,16.26,15.3,14.37,13.46,12.59,11.81,11.13,10.6,10.0,9.38,8.96,8.46,8.05,7.69,7.32,6.99,6.71,6.36,,
