,country,country_serial,metric,unit,sector,sub_sector,sub_sub_sector,source_link,source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
234,Eswatini,19,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.13,0.14,0.14,0.14,0.15,0.15,0.16,0.16,0.17,0.19,0.18,0.2,0.21,0.22,0.25,0.25,0.25,0.28,0.29,0.31,0.32,0.34,0.31
235,Ethiopia,20,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,7.49,6.67,8.15,8.93,9.39,10.35,10.36,10.87,11.56,12.22,13.01,13.6,14.63,15.47,17.02,16.49,17.34,20.57,20.48,21.63,22.83,24.11,25.67
236,Gabon,21,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.88,0.92,0.95,0.99,1.03,1.08,1.12,1.17,1.22,1.27,1.35,1.41,1.49,1.49,1.59,1.64,1.7,1.71,1.81,1.86,1.91,1.96,2.03
237,Gambia,22,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.3,0.32,0.34,0.37,0.4,0.41,0.46,0.49,0.53,0.57,0.61,0.65,0.7,0.72,0.8,0.85,0.9,1.01,1.01,1.08,1.16,1.23,1.31
238,Ghana,23,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,6.69,6.83,7.17,7.22,7.89,8.0,8.57,9.14,9.75,10.08,9.04,10.97,11.63,12.3,13.07,13.19,13.87,14.38,14.85,16.01,16.66,17.32,17.76
239,Guinea,24,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,1.31,1.46,1.59,1.72,1.89,1.84,2.11,2.22,2.35,2.47,2.61,2.76,2.87,3.07,3.22,3.4,3.62,3.8,4.09,4.21,4.47,4.72,4.98
240,Guinea Bissau,25,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.07,0.08,0.08,0.09,0.1,0.11,0.19,0.11,0.13,0.06,0.07,0.18,0.19,0.2,0.24,0.26,0.31,0.35,0.4,0.45,0.5,0.55,0.6
241,Kenya,26,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,3.12,3.35,3.64,3.6,4.23,4.57,4.9,5.28,5.7,6.13,5.66,7.08,7.55,8.1,7.93,9.47,10.66,11.02,12.0,13.04,14.1,15.19,16.26
242,Lesotho,27,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.05,0.02,0.02,0.1,0.11,0.13,0.15,0.17,0.19,0.21,0.28,0.3,0.32,0.34,0.35,0.38,0.4,0.43,0.45,0.49,0.52,0.56,0.56
243,Liberia,28,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.04,0.06,0.19,0.14,0.33,0.34,0.32,0.57,0.72,0.97,0.92,0.95,1.21,1.36,1.33
244,Libya,29,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,4.09,4.16,4.23,4.31,4.39,4.46,4.54,4.62,4.7,4.76,4.82,4.85,4.87,4.65,4.56,4.48,4.43,4.39,4.24,4.41,4.54,4.65,4.69
245,Madagascar,30,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,1.95,1.88,2.3,2.55,2.61,2.8,3.01,3.22,3.47,3.41,2.43,2.84,3.91,2.67,5.16,5.5,5.46,5.86,6.95,6.18,7.72,8.09,8.62
246,Malawi,31,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.48,0.48,0.52,0.68,0.57,0.63,0.49,0.72,0.77,0.84,0.82,0.79,0.95,0.96,1.27,1.4,1.25,1.79,1.59,1.54,1.75,2.0,2.02
247,Mali,32,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,1.04,1.21,1.37,1.56,1.76,2.0,2.06,2.51,2.8,2.97,3.44,4.34,3.47,4.99,5.34,5.8,6.09,5.45,6.93,7.73,8.35,9.04,9.25
248,Mauritania,33,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.47,0.54,0.56,0.61,0.67,0.55,0.8,1.02,0.95,1.03,1.19,1.28,1.38,1.48,1.57,1.58,1.7,1.82,1.93,2.04,2.15,2.27,2.4
249,Mauritius,34,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.52,0.52,0.52,0.52
250,Morocco,35,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,14.16,14.5,14.8,15.13,15.61,15.88,17.08,16.75,17.24,17.72,18.38,18.89,19.39,19.93,20.52,21.1,21.5,22.13,22.45,23.08,23.55,24.02,24.49
251,Mozambique,36,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,1.08,1.04,1.6,1.46,2.03,2.25,2.5,2.52,2.74,3.17,4.35,4.4,5.05,5.43,6.26,6.56,6.67,6.37,7.93,8.29,8.95,9.68,10.29
252,Namibia,37,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.45,0.46,0.48,0.5,0.52,0.54,0.56,0.62,0.6,0.68,0.66,0.66,0.73,0.75,0.8,0.85,0.82,0.92,0.96,1.0,1.05,1.09,1.15
253,Niger,38,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.59,0.79,0.84,0.89,0.94,0.92,1.08,1.14,1.22,1.3,1.57,1.65,1.78,1.78,1.84,1.95,1.99,2.13,1.75,2.41,2.55,2.76,3.4
254,Nigeria,39,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,35.72,37.48,39.33,41.86,43.34,45.47,47.76,51.43,53.19,55.39,55.05,62.96,63.93,66.28,70.29,70.64,77.84,82.06,80.52,86.3,89.84,99.53,103.98
255,Rwanda,40,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.47,0.39,0.43,0.6,0.64,0.38,0.74,0.8,0.46,0.93,0.77,1.04,1.23,1.15,1.38,1.45,1.63,1.78,1.85,1.91,2.14,2.3,2.42
256,Sao Tome and Principe,41,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.1,0.1,0.1,0.11,0.12,0.12,0.13,0.13,0.14
257,Senegal,42,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,2.97,3.02,3.13,3.3,3.47,3.77,4.07,4.04,4.25,4.54,4.76,5.16,5.28,5.58,5.62,5.97,6.26,6.79,7.19,7.6,7.62,8.07,8.3
258,Seychelles,43,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06
259,Sierra Leone,44,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.35,0.37,0.4,0.43,0.58,0.51,0.7,0.76,0.62,0.88,0.65,0.93,1.1,0.81,1.25,1.34,1.43,1.53,1.73,1.72,1.9,2.03,2.23
260,Somalia,45,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.13,0.4,0.66,0.96,1.1,1.25,1.51,1.45,1.68,1.91,3.14,3.4,3.58,3.75,3.93,4.11,4.32,4.53,4.75,4.98,5.23,5.47,5.6
261,South Africa,46,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,22.28,22.79,23.34,24.42,24.4,24.95,25.47,26.0,26.54,27.12,27.72,28.39,29.08,29.77,30.48,31.2,31.87,32.55,33.23,33.88,34.54,35.19,34.15
262,South Sudan,47,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.09,0.1,0.1,0.11,0.12,0.13,0.14,0.07,0.11,0.28,0.07,0.21,0.22,0.23,0.25,0.26,0.28,0.23,0.32,0.36,0.41,0.44,1.01
263,Sudan,48,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,5.46,5.61,5.77,5.93,6.09,6.27,6.42,6.57,4.98,6.44,8.19,8.54,8.94,9.34,9.71,10.2,10.65,11.16,11.64,12.21,12.77,13.37,14.41
264,Tanzania,49,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,2.52,2.73,2.97,3.22,3.61,3.99,4.39,4.81,4.66,4.55,5.99,5.87,6.71,7.7,8.67,9.95,11.72,12.26,13.54,15.38,16.1,17.96,15.32
265,Togo,50,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.63,0.82,0.89,0.97,1.06,1.15,1.35,1.35,1.46,1.58,1.63,1.98,2.02,2.15,2.38,2.44,2.61,2.85,2.77,3.17,3.37,3.58,3.79
266,Tunisia,51,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,6.12,6.21,6.31,6.4,6.49,6.57,6.66,6.76,6.86,6.96,7.09,7.19,7.32,7.43,7.55,7.66,7.79,7.92,8.03,8.16,8.28,8.4,8.52
267,Uganda,52,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,1.45,1.65,1.57,1.88,2.07,2.37,2.15,2.67,2.89,2.77,3.15,3.86,4.06,4.39,4.29,4.61,5.4,6.32,7.58,7.88,8.25,9.0,10.35
268,Zambia,53,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,1.61,1.78,1.78,1.97,2.03,2.3,2.44,2.31,2.77,2.95,2.71,3.34,3.57,3.81,3.97,4.57,4.93,5.52,5.85,6.36,6.88,7.45,7.91
269,Zimbabwe,54,Population with access to electricity-Urban,Millions of people,Electricity,Access,Population with access to electricity-Urban (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,3.53,3.61,3.69,3.71,3.73,3.76,4.07,3.84,3.87,4.19,3.99,3.95,4.12,4.2,4.18,4.15,4.47,4.56,4.65,4.76,4.87,4.99,5.04
270,Algeria,1,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.44,0.44,0.45,0.45,0.46,0.47,0.44,0.45,0.24,0.43,0.4,0.37,0.45,0.31,0.27,0.24,0.24,0.21,0.17,0.21,0.13,0.09,0.0
271,Angola,2,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,12.46,13.59,12.95,13.22,13.51,13.8,14.08,13.12,13.38,14.93,15.19,15.84,15.74,16.01,18.31,16.16,16.77,17.01,16.83,17.29,17.4,17.56,18.02
272,Benin,3,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,5.39,5.53,5.59,5.69,5.8,5.9,5.92,6.09,6.17,6.26,6.05,5.97,5.99,6.53,6.78,7.45,6.85,7.32,7.01,7.08,7.15,7.22,5.56
273,Botswana,4,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,1.27,1.32,1.3,1.21,1.18,1.16,1.14,1.11,1.08,1.12,0.97,0.96,0.92,0.89,0.87,0.84,0.81,0.75,0.74,0.71,0.68,0.65,0.6
274,Burkina Faso,5,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,10.55,10.81,11.08,11.21,11.64,11.93,12.22,12.54,12.85,13.23,13.56,13.7,14.07,14.44,14.21,15.18,15.55,15.93,16.91,16.74,17.04,17.41,17.79
275,Burundi,6,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,6.24,6.37,6.53,6.72,6.92,7.19,7.47,7.57,7.82,8.03,8.3,8.48,8.71,8.94,9.2,9.39,9.63,9.85,10.15,10.44,10.85,11.05,11.37
276,Cameroon,7,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,9.01,8.43,9.01,9.07,8.97,9.2,9.13,9.53,9.34,9.39,9.43,9.5,9.44,9.46,9.61,9.45,9.42,9.41,9.33,9.32,9.27,9.21,7.91
277,Cape Verde,8,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.18,0.18,0.19,0.17,0.16,0.16,0.15,0.14,0.14,0.13,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.05,0.05,0.04,0.03,0.02
278,Central African Republic,9,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,3.53,3.61,3.67,3.72,3.77,3.82,3.87,3.92,4.02,3.99,4.01,4.01,4.0,3.98,3.97,3.97,3.98,4.0,4.05,4.14,4.16,4.23,4.33
279,Chad,10,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,8.08,8.37,8.66,8.97,9.37,9.58,9.89,10.18,10.48,10.78,11.13,11.18,11.71,12.07,12.43,12.93,13.12,13.28,13.8,14.49,14.51,14.87,15.24
280,Comoros,11,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.33,0.32,0.31,0.31,0.31,0.3,0.29,0.29,0.28,0.27,0.21,0.22,0.22,0.23,0.21,0.2,0.19,0.17,0.16,0.14,0.13,0.11,0.09
281,Congo Democratic Republic,12,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,43.92,44.96,46.0,47.12,48.26,51.47,50.78,49.54,53.37,54.73,56.14,57.57,58.36,60.48,63.77,63.55,65.11,66.7,68.3,70.16,71.51,73.13,74.75
282,Congo Republic,13,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,2.28,2.31,2.34,2.38,2.42,2.46,2.5,2.55,2.6,2.68,2.63,2.67,2.71,2.73,2.76,2.78,2.8,2.83,2.86,2.9,2.92,2.93,2.96
283,Cote d'Ivoire,14,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,8.56,8.57,8.44,8.57,8.57,7.54,7.44,8.53,7.74,8.51,8.49,9.24,9.47,8.46,8.58,8.64,8.46,8.36,8.19,8.02,7.88,7.75,8.14
284,Djibouti,15,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.32,0.32,0.38,0.33,0.33,0.34,0.35,0.35,0.35,0.35,0.36,0.36,0.4,0.37,0.37,0.38,0.38,0.38,0.37,0.35,0.35,0.35,0.36
285,Egypt,16,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,1.61,1.85,1.81,0.89,1.66,0.46,0.78,1.27,0.16,0.91,0.5,0.52,0.26,0.09,0.18,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,Equatorial Guinea,17,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.22,0.22,0.23,0.24,0.25,0.27,0.28,0.29,0.3,0.31,0.32,0.34,0.36,0.37,0.38,0.4,0.41,0.43,0.44,0.45,0.47,0.48,0.49
287,Eritrea,18,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,2.4,2.44,2.45,2.53,2.57,2.6,2.62,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.64,2.64,2.64,2.64,2.64,2.53
288,Eswatini,19,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.84,0.78,0.8,0.78,0.75,0.73,0.73,0.69,0.67,0.72,0.65,0.6,0.57,0.54,0.45,0.47,0.49,0.36,0.36,0.33,0.29,0.25,0.26
289,Ethiopia,20,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,58.09,61.51,62.11,62.75,63.28,65.99,64.18,64.56,64.88,65.17,65.34,69.34,65.64,65.66,70.88,70.91,58.47,58.46,59.36,57.27,55.14,52.85,53.13
290,Gabon,21,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.33,0.29,0.29,0.29,0.28,0.26,0.28,0.28,0.28,0.27,0.18,0.19,0.19,0.25,0.24,0.25,0.24,0.28,0.22,0.2,0.19,0.18,0.15
291,Gambia,22,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.81,0.89,0.9,0.98,0.91,1.0,0.92,0.93,0.93,0.93,0.9,0.9,0.9,0.9,0.9,0.9,0.89,0.92,0.86,0.84,0.87,0.86,0.84
292,Ghana,23,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,10.66,10.72,10.6,10.57,10.33,12.65,9.93,9.78,9.2,9.3,8.78,9.02,11.19,7.72,5.85,7.17,5.84,6.06,5.77,4.97,4.49,4.3,4.77
293,Guinea,24,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,7.47,7.5,7.52,7.55,7.57,7.72,7.63,7.66,7.7,7.74,7.76,7.78,8.33,7.82,7.85,7.87,8.24,8.22,7.18,7.74,7.6,7.51,7.57
294,Guinea Bissau,25,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,1.18,1.19,1.21,1.23,1.25,1.27,1.21,1.33,1.34,1.45,1.46,1.38,1.39,1.41,1.43,1.41,1.4,1.38,1.37,1.35,1.33,1.31,1.31
295,Kenya,26,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,26.67,26.83,26.94,28.67,27.15,27.22,27.27,27.31,27.29,30.98,33.41,27.11,27.02,26.85,29.46,27.59,22.73,21.97,19.77,15.82,15.25,12.87,13.46
296,Lesotho,27,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,1.79,1.86,1.84,1.81,1.8,1.76,1.77,1.71,1.68,1.68,1.69,1.6,1.66,1.55,1.55,1.48,1.43,1.48,1.2,1.27,1.22,1.17,1.19
297,Liberia,28,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,2.88,2.99,3.06,3.12,3.18,3.26,3.37,3.41,3.62,3.74,3.74,3.9,3.79,3.87,3.98,3.82,3.8,3.59,3.75,3.83,3.7,3.67,3.66
298,Libya,29,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.01,0.17,0.27,0.37,0.47,0.57,0.68,0.79,0.9,1.01,1.12,1.22,1.32,1.42,1.52,1.63,1.75,1.87,2.14,2.07,2.04,2.01,2.05
299,Madagascar,30,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,13.78,13.85,14.42,13.77,15.08,15.4,15.71,16.03,16.34,16.99,18.55,18.63,18.17,20.0,18.16,18.47,19.19,19.41,16.68,18.61,18.83,18.45,18.64
300,Malawi,31,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,10.83,11.09,11.34,11.57,11.8,12.18,12.93,12.82,13.16,13.49,13.85,14.44,14.91,15.09,15.04,15.68,16.1,16.26,15.72,17.51,17.95,17.9,18.44
301,Mali,32,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,9.91,10.07,10.13,10.24,10.36,10.47,11.03,10.71,10.83,11.1,11.0,11.07,11.91,11.14,11.16,10.9,11.01,12.09,9.38,10.26,10.02,9.74,10.11
302,Mauritania,33,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,2.19,2.17,2.25,2.28,2.3,2.56,2.35,2.22,2.39,2.42,2.38,2.41,2.44,2.46,2.49,2.53,2.53,2.52,2.56,2.57,2.61,2.57,2.57
303,Mauritius,34,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.0
304,Morocco,35,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,8.71,8.29,7.88,7.43,6.58,6.53,1.08,5.56,5.02,4.51,1.39,1.28,1.2,0.95,0.93,0.94,0.78,0.0,0.69,0.15,0.0,0.0,0.0
305,Mozambique,36,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,16.97,17.53,17.53,18.12,18.14,18.45,18.75,19.44,19.74,20.0,19.64,19.9,20.23,20.51,20.46,21.29,21.28,22.46,21.03,22.08,22.42,22.76,22.83
306,Namibia,37,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,1.21,1.24,1.24,1.24,1.23,1.23,1.22,1.17,1.21,1.19,1.21,1.28,1.21,1.22,1.22,1.17,1.25,1.2,1.23,1.23,1.29,1.23,1.23
307,Niger,38,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,10.62,10.78,11.13,11.48,11.85,12.65,12.82,13.03,13.43,13.87,14.19,14.62,15.18,15.63,16.14,16.59,17.16,17.7,18.38,18.89,19.57,20.36,20.91
308,Nigeria,39,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,69.5,70.38,71.28,63.08,72.98,73.92,74.73,73.06,74.72,77.2,82.46,71.83,78.63,76.29,80.82,86.06,75.7,87.04,85.21,89.63,91.94,85.64,85.65
309,Rwanda,40,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,7.53,7.94,8.02,8.04,8.05,8.56,8.16,8.24,9.13,8.42,9.25,9.38,8.9,9.38,9.1,8.98,8.41,8.05,7.75,6.83,7.17,6.86,6.75
310,Sao Tome and Principe,41,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.05
311,Senegal,42,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,6.16,6.19,6.57,6.2,6.92,5.95,5.79,6.16,6.14,5.84,5.62,5.79,5.96,6.07,5.67,5.92,5.47,6.07,5.54,4.96,6.14,5.65,5.82
312,Seychelles,43,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,Sierra Leone,44,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,4.21,4.34,4.5,4.68,4.53,5.02,5.14,5.23,5.42,5.39,5.72,5.67,5.6,5.99,5.75,5.81,5.89,5.79,5.7,6.09,5.93,5.95,5.91
314,Somalia,45,Population without access to electricity-National,Millions of people,Electricity,Access,Population without access to electricity-National (millions of people),https://africa-energy-portal.org/database,Africa Energy Portal,8.82,8.85,8.86,8.87,8.86,8.85,9.09,8.81,8.77,8.72,5.75,5.95,6.15,6.37,6.57,6.79,7.0,7.06,7.48,7.94,8.07,8.41,8.73
